circuit,curve,backend,nbConstraints,nbWires
api/AssertIsCrumb,bn254,groth16,3,2
api/AssertIsCrumb,bls12_377,groth16,3,2
api/AssertIsCrumb,bls12_381,groth16,3,2
api/AssertIsCrumb,bw6_761,groth16,3,2
api/AssertIsCrumb,bn254,plonk,2,1
api/AssertIsCrumb,bls12_377,plonk,2,1
api/AssertIsCrumb,bls12_381,plonk,2,1
api/AssertIsCrumb,bw6_761,plonk,2,1
api/AssertIsLessOrEqual,bn254,groth16,1523,1367
api/AssertIsLessOrEqual,bls12_377,groth16,1517,1349
api/AssertIsLessOrEqual,bls12_381,groth16,1529,1405
api/AssertIsLessOrEqual,bw6_761,groth16,2265,2020
api/AssertIsLessOrEqual,bn254,plonk,3199,3043
api/AssertIsLessOrEqual,bls12_377,plonk,3199,3031
api/AssertIsLessOrEqual,bls12_381,plonk,3179,3055
api/AssertIsLessOrEqual,bw6_761,plonk,4764,4519
api/AssertIsLessOrEqual/constant_bound_64_bits,bn254,groth16,587,353
api/AssertIsLessOrEqual/constant_bound_64_bits,bls12_377,groth16,588,339
api/AssertIsLessOrEqual/constant_bound_64_bits,bls12_381,groth16,611,387
api/AssertIsLessOrEqual/constant_bound_64_bits,bw6_761,groth16,883,511
api/AssertIsLessOrEqual/constant_bound_64_bits,bn254,plonk,994,760
api/AssertIsLessOrEqual/constant_bound_64_bits,bls12_377,plonk,1006,757
api/AssertIsLessOrEqual/constant_bound_64_bits,bls12_381,plonk,987,763
api/AssertIsLessOrEqual/constant_bound_64_bits,bw6_761,plonk,1501,1129
api/IsZero,bn254,groth16,2,2
api/IsZero,bls12_377,groth16,2,2
api/IsZero,bls12_381,groth16,2,2
api/IsZero,bw6_761,groth16,2,2
api/IsZero,bn254,plonk,2,2
api/IsZero,bls12_377,plonk,2,2
api/IsZero,bls12_381,plonk,2,2
api/IsZero,bw6_761,plonk,2,2
api/Lookup2,bn254,groth16,5,3
api/Lookup2,bls12_377,groth16,5,3
api/Lookup2,bls12_381,groth16,5,3
api/Lookup2,bw6_761,groth16,5,3
api/Lookup2,bn254,plonk,12,10
api/Lookup2,bls12_377,plonk,12,10
api/Lookup2,bls12_381,plonk,12,10
api/Lookup2,bw6_761,plonk,12,10
hash/mimc,bn254,groth16,330,330
hash/mimc,bls12_377,groth16,310,310
hash/mimc,bls12_381,groth16,333,333
hash/mimc,bw6_761,groth16,489,489
hash/mimc,bn254,plonk,441,441
hash/mimc,bls12_377,plonk,373,373
hash/mimc,bls12_381,plonk,445,445
hash/mimc,bw6_761,plonk,653,653
maptocurve_increment/x_bn254,bn254,groth16,786,1429
maptocurve_increment/x_bn254,bn254,plonk,2892,2888
maptocurve_increment/x_p256,bn254,groth16,790,1433
maptocurve_increment/x_p256,bn254,plonk,2884,2877
maptocurve_increment/x_secp256k1,bn254,groth16,786,1429
maptocurve_increment/x_secp256k1,bn254,plonk,2871,2867
maptocurve_increment/y_bls12377,bw6_761,groth16,15,23
maptocurve_increment/y_bls12377,bw6_761,plonk,37,36
maptocurve_increment/y_bn254,bn254,groth16,605,1088
maptocurve_increment/y_bn254,bn254,plonk,2350,2344
maptocurve_increment/y_grumpkin,bn254,groth16,15,23
maptocurve_increment/y_grumpkin,bn254,plonk,37,36
maptocurve_increment/y_p256,bn254,groth16,609,1092
maptocurve_increment/y_p256,bn254,plonk,2363,2354
maptocurve_increment/y_secp256k1,bn254,groth16,605,1088
maptocurve_increment/y_secp256k1,bn254,plonk,2350,2344
math/bits.ToBinary,bn254,groth16,508,353
math/bits.ToBinary,bls12_377,groth16,506,339
math/bits.ToBinary,bls12_381,groth16,510,387
math/bits.ToBinary,bw6_761,groth16,755,511
math/bits.ToBinary,bn254,plonk,915,760
math/bits.ToBinary,bls12_377,plonk,924,757
math/bits.ToBinary,bls12_381,plonk,886,763
math/bits.ToBinary,bw6_761,plonk,1373,1129
math/bits.ToBinary/unconstrained,bn254,groth16,354,353
math/bits.ToBinary/unconstrained,bls12_377,groth16,340,339
math/bits.ToBinary/unconstrained,bls12_381,groth16,388,387
math/bits.ToBinary/unconstrained,bw6_761,groth16,512,511
math/bits.ToBinary/unconstrained,bn254,plonk,761,760
math/bits.ToBinary/unconstrained,bls12_377,plonk,758,757
math/bits.ToBinary/unconstrained,bls12_381,plonk,764,763
math/bits.ToBinary/unconstrained,bw6_761,plonk,1130,1129
math/bits.ToTernary,bn254,groth16,484,483
math/bits.ToTernary,bls12_377,groth16,481,480
math/bits.ToTernary,bls12_381,groth16,484,483
math/bits.ToTernary,bw6_761,groth16,715,714
math/bits.ToTernary,bn254,plonk,966,965
math/bits.ToTernary,bls12_377,plonk,960,959
math/bits.ToTernary,bls12_381,plonk,966,965
math/bits.ToTernary,bw6_761,plonk,1428,1427
math/bits.ToTernary/unconstrained,bn254,groth16,1,161
math/bits.ToTernary/unconstrained,bls12_377,groth16,1,160
math/bits.ToTernary/unconstrained,bls12_381,groth16,1,161
math/bits.ToTernary/unconstrained,bw6_761,groth16,1,238
math/bits.ToTernary/unconstrained,bn254,plonk,161,321
math/bits.ToTernary/unconstrained,bls12_377,plonk,160,319
math/bits.ToTernary/unconstrained,bls12_381,plonk,161,321
math/bits.ToTernary/unconstrained,bw6_761,plonk,238,475
math/emulated/secp256k1_64,bn254,groth16,999,1870
math/emulated/secp256k1_64,bls12_377,groth16,999,1870
math/emulated/secp256k1_64,bls12_381,groth16,999,1870
math/emulated/secp256k1_64,bw6_761,groth16,999,1870
math/emulated/secp256k1_64,bn254,plonk,3923,3875
math/emulated/secp256k1_64,bls12_377,plonk,3923,3875
math/emulated/secp256k1_64,bls12_381,plonk,3923,3875
math/emulated/secp256k1_64,bw6_761,plonk,3923,3875
pairing_bls12377,bw6_761,groth16,11876,11876
pairing_bls12377,bw6_761,plonk,41914,40431
pairing_bls12381,bn254,groth16,587836,1019928
pairing_bls12381,bn254,plonk,1986018,1996609
pairing_bn254,bn254,groth16,365100,639436
pairing_bn254,bn254,plonk,1223419,1228074
pairing_bw6761,bn254,groth16,1282176,2346839
pairing_bw6761,bn254,plonk,4411607,4505507
scalar_mul_G1_bn254,bn254,groth16,97057,153907
scalar_mul_G1_bn254,bn254,plonk,324771,321450
scalar_mul_G1_bn254_incomplete,bn254,groth16,45525,76310
scalar_mul_G1_bn254_incomplete,bn254,plonk,169223,168572
scalar_mul_G2_bls12381,bn254,groth16,270611,426387
scalar_mul_G2_bls12381,bn254,plonk,896814,888944
scalar_mul_G2_bn254,bn254,groth16,193989,305397
scalar_mul_G2_bn254,bn254,plonk,657080,650741
scalar_mul_G2_bw6761,bn254,groth16,345512,575382
scalar_mul_G2_bw6761,bn254,plonk,1117925,1110153
scalar_mul_P256,bn254,groth16,86136,142281
scalar_mul_P256,bn254,plonk,299542,297794
scalar_mul_P256_incomplete,bn254,groth16,66649,113747
scalar_mul_P256_incomplete,bn254,plonk,238374,238201
scalar_mul_secp256k1,bn254,groth16,97086,153960
scalar_mul_secp256k1,bn254,plonk,324896,321579
scalar_mul_secp256k1_incomplete,bn254,groth16,45557,76370
scalar_mul_secp256k1_incomplete,bn254,plonk,169365,168715
selector/binaryMux_4,bn254,groth16,5,3
selector/binaryMux_4,bls12_377,groth16,5,3
selector/binaryMux_4,bls12_381,groth16,5,3
selector/binaryMux_4,bw6_761,groth16,5,3
selector/binaryMux_4,bn254,plonk,11,9
selector/binaryMux_4,bls12_377,plonk,11,9
selector/binaryMux_4,bls12_381,plonk,11,9
selector/binaryMux_4,bw6_761,plonk,11,9
selector/binaryMux_8,bn254,groth16,10,7
selector/binaryMux_8,bls12_377,groth16,10,7
selector/binaryMux_8,bls12_381,groth16,10,7
selector/binaryMux_8,bw6_761,groth16,10,7
selector/binaryMux_8,bn254,plonk,24,21
selector/binaryMux_8,bls12_377,plonk,24,21
selector/binaryMux_8,bls12_381,plonk,24,21
selector/binaryMux_8,bw6_761,plonk,24,21
selector/mux_3,bn254,groth16,6,4
selector/mux_3,bls12_377,groth16,6,4
selector/mux_3,bls12_381,groth16,6,4
selector/mux_3,bw6_761,groth16,6,4
selector/mux_3,bn254,plonk,12,10
selector/mux_3,bls12_377,plonk,12,10
selector/mux_3,bls12_381,plonk,12,10
selector/mux_3,bw6_761,plonk,12,10
selector/mux_4,bn254,groth16,6,5
selector/mux_4,bls12_377,groth16,6,5
selector/mux_4,bls12_381,groth16,6,5
selector/mux_4,bw6_761,groth16,6,5
selector/mux_4,bn254,plonk,13,12
selector/mux_4,bls12_377,plonk,13,12
selector/mux_4,bls12_381,plonk,13,12
selector/mux_4,bw6_761,plonk,13,12
selector/mux_5,bn254,groth16,10,7
selector/mux_5,bls12_377,groth16,10,7
selector/mux_5,bls12_381,groth16,10,7
selector/mux_5,bw6_761,groth16,10,7
selector/mux_5,bn254,plonk,22,19
selector/mux_5,bls12_377,plonk,22,19
selector/mux_5,bls12_381,plonk,22,19
selector/mux_5,bw6_761,plonk,22,19
